c_assoc_code,Weight,c_assoc_pair,c_assoc_desc,c_assoc_desc_chn,c_assoc_role_type,c_sortorder
581,1,580,writings inscribed by,書之題詞由Y所作,P,
582,1,583,gave miitary support to/surrendered to,軍事支持Y,A,
583,-1,582,was supported militarily/surrendered to by,受Y之軍事支持,P,
584,-1,585,opposed militarily,軍事對抗Y,A,
585,-1,584,was opposed militarily by,被Y軍事對抗Y,P,
586,-1,587,Toady to Y,諂事Y,A,
587,-1,586,Toadied to by Y,被Y諂事,P,
588,1,589,Recommended Y to a thrid person,推薦Y給他人（第三方）,A,
589,1,588,Recommended by Y to a third person,被Y推薦給他人（第三方）,P,
590,0.5,591,Proposed to worship Y ,為Y請祀,A,
591,0.5,590,Proposed by Y to be worshiped,Y為之請祀,P,
592,1,593,Contributed to the expenses of Y,出財贍給Y,A,
593,1,592,Received contribution of expenses from Y,Y為之出財贍給,P,
594,1,595,Requested a posthumous name for Y ,為Y求謚號,A,
595,1,594,Received a posthumous name because of Y's request,Y為之求謚號,P,
596,1,596,Discoursed on learning with Y,與Y為講學,M,
