c_assoc_code,Weight,c_assoc_pair,c_assoc_desc,c_assoc_desc_chn,c_assoc_role_type,c_sortorder,c_assoc_type_id,c_assoc_type_desc_chn
584,-0.1,585,opposed militarily,????Y,A,,603,????
585,-0.1,584,was opposed militarily by,?Y????Y,P,,603,????
586,0.01,587,Toady to Y,??Y,A,,403,????????
587,0.01,586,Toadied to by Y,?Y??,P,,404,????????
588,0.1,589,Recommended Y to a thrid person,??Y????????,A,,#N/A,#N/A
589,0.1,588,Recommended by Y to a third person,?Y??????????,P,,#N/A,#N/A
590,0.01,591,Proposed to worship Y ,?Y??,A,,#N/A,#N/A
591,0.01,590,Proposed by Y to be worshiped,Y????,P,,#N/A,#N/A
592,0.3,593,Contributed to the expenses of Y,????Y,A,,#N/A,#N/A
593,0.3,592,Received contribution of expenses from Y,Y??????,P,,#N/A,#N/A
594,0.5,595,Requested a posthumous name for Y ,?Y???,A,,#N/A,#N/A
595,0.5,594,Received a posthumous name because of Y's request,Y?????,P,,#N/A,#N/A
596,0.1,596,Discoursed on learning with Y,?Y???,M,,#N/A,#N/A
